time_s,speed_kmh,throttle,brake,ems_mode,selector_mode,selector_auto,soc_pct,i_batt_a,v_oc_v,v_batt_v,v_bus_v,p_batt_kw,t_batt_c,dcdc_eff_pct,ice_on,ice_rpm,ice_torque_nm,t_coolant_c,mg1_rpm,mg1_torque_nm,mg2_rpm,mg2_torque_nm,mg2_eff_pct,fuel_rate_gs,fuel_total_g,p_friction_kw,wheel_torque_nm
0.0,0.0,0.0,0.0,EV,AUTO,True,59.999919529484636,0.3766020227047685,212.51998779935101,212.42583729484846,500.0,0.08,25.000000554019337,97.2,0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,76.49999999997577,0.0,0.0,0.0,0.0
0.05,0.0,0.0008749999999999999,0.0,EV,AUTO,True,59.99972056304392,0.9311630089979287,212.51995615515398,212.287165423869,500.0,0.19767395572773303,25.000003940985515,97.2,0,0.0,0.0,25.0,0.0,0.0,0.0,174.99999999999997,76.49999999997577,0.0,0.0,0.0,1507.0670999999998
0.1,0.5990887273036039,0.0017499999999999998,0.0,EV,AUTO,True,59.99940426369332,1.4802811295159268,212.51990444761842,212.1498342729717,500.0,0.31404139630421585,25.000012500467548,97.2,0,0.0,0.0,25.0,-6.2990717226274064,0.0,43.1713179581992,38.709193545653996,76.92705440423461,0.0,0.0,0.0,333.35629748678565
0.15000000000000002,0.7221138437094801,0.002625,0.0,EV,AUTO,True,59.998970222929685,2.0313110928055673,212.51983247448916,212.01200504415624,500.0,0.43066233765414014,25.000028618481398,97.2,0,0.0,0.0,25.0,-7.592609718932379,0.0,52.03670996967496,48.17157647280462,77.01475162736891,0.0,0.0,0.0,414.8445603274165
0.2,0.8781904277882274,0.0034999999999999996,0.0,EV,AUTO,True,59.99841869973651,2.5811290609847575,212.51974011004094,211.8744586843108,500.0,0.5468753225904797,25.000054642691083,97.2,0,0.0,0.0,25.0,-9.23366479563137,0.0,63.283845043339156,52.81369680746959,77.12600925849226,0.0,0.0,0.0,454.82162793092834
0.25,1.0504810605549346,0.0043749999999999995,0.0,EV,AUTO,True,59.997749968294734,3.129663909813392,212.51962724336857,211.73721300830124,500.0,0.6626663139165564,25.00009290338597,97.2,0,0.0,0.0,25.0,-11.045201223330432,0.0,75.69939110421745,55.189575440713064,77.24882491197103,0.0,0.0,0.0,475.2822480552381
0.30000000000000004,1.2310695079815959,0.00525,0.0,EV,AUTO,True,59.9969643027804,3.676915662093699,212.51949376493738,211.6002680766658,500.0,0.7780363397943232,25.0001457143362,97.2,0,0.0,0.0,25.0,-12.94398437643421,0.0,88.71289132232953,56.51242601460345,77.37755557959505,0.0,0.0,0.0,486.6743885016742
0.35000000000000003,1.41627728838572,0.006125,0.0,EV,AUTO,True,59.99606197516899,4.2228946161678715,212.51933956596753,211.4636214124238,500.0,0.8929885883778818,25.00021537316312,97.2,0,0.0,0.0,25.0,-14.891337146039874,0.0,102.05926826409889,57.3092895736998,77.50957909250702,0.0,0.0,0.0,493.53682766226285
0.4,1.6042668739529606,0.006999999999999999,0.0,EV,AUTO,True,59.9950432552574,4.767610967504243,212.51916453838584,211.3272705951842,500.0,1.0075262130223372,25.00030416154046,97.2,0,0.0,0.0,25.0,-16.8679389891838,0.0,115.6061066562701,57.82140583398894,77.64358558739238,0.0,0.0,0.0,497.947076618016
0.45,1.794043387319968,0.007875,0.0,EV,AUTO,True,59.99390841092863,5.31107367253376,212.51896857485576,211.1912135447754,500.0,1.121652094128117,25.00041434534402,97.2,0,0.0,0.0,25.0,-18.863329345382454,0.0,129.28171400151322,58.168095303903804,77.77886587587825,0.0,0.0,0.0,500.9327011553025
